col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry,Exposure Time (s),Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Path
PTF11qri,0.055,0.001415057731495088,0.00021397160179809893,1.088970181278746e-05,0.129764277707,123.0,0.032480673702,2.67314412075e-17,6.69101878262e-18,1.76654602261e+38,4.51199512945e+37,6.04785091373e+37,1.57506892732e+37,37.7816010768,1.6675767223,./Tar archives (uncomp.)/PTF11qri/2/AIS_229/AIS_229_sg60-nd-int.fits
PTF11qzq,0.06,0.001415057731495088,0.00018019712107696694,8.394983289527046e-06,0.0468590872885,260.05,0.0134235840789,9.65297198143e-18,2.76525832025e-18,7.57481302847e+37,2.19837977099e+37,2.18393520068e+37,6.41941043887e+36,37.3392397483,1.47750485114,./Tar archives (uncomp.)/PTF11qzq/1/AIS_75/AIS_75_sg80-nd-int.fits
PTF12iiq,0.029,0.001415057731495088,0.0007608436297649201,7.413046432246058e-05,0.0702277250786,108.0,0.0255001322121,1.44669113662e-17,5.25302723569e-18,2.68868009469e+37,1.01049091384e+37,3.27306419604e+37,1.27078530955e+37,37.5149545234,1.11857896733,./Tar archives (uncomp.)/PTF12iiq/1/AIS_180/AIS_180_sg73-nd-int.fits
PTF12iiq,0.029,0.001415057731495088,0.0007608436297649201,7.413046432246058e-05,0.0777508242189,3436.8,0.00475636706859,1.60166697891e-17,9.7981161613e-19,2.97670319221e+37,3.41290255915e+36,3.62368905839e+37,5.45223357859e+36,37.5591509247,2.88642835915,./Tar archives (uncomp.)/PTF12iiq/2/MISGCSS_18348_0410/MISGCSS_18348_0410-nd-int.fits
PTF12ik,0.045,0.001415057731495088,0.00031822012294804625,1.985300318318065e-05,0.124323703963,2410.1,0.00718223204625,2.56106830164e-17,1.47953980153e-18,1.13802615052e+38,9.66608316328e+36,5.79428514457e+37,6.10646109974e+36,37.7629998636,4.12092376216,./Tar archives (uncomp.)/PTF12ikt/2/GI3_121007_J011536p002330/GI3_121007_J011536p002330-nd-int.fits
PTF13ayw,0.0538,0.001415057731495088,0.00022350378418339124,1.1632481268005794e-05,0.0306915404118,231.05,0.0115254087468,6.32245732483e-18,2.37423420184e-18,3.99999774074e+37,1.51641378495e+37,1.43042341085e+37,5.47365256745e+36,37.1554646093,1.13493683872,./Tar archives (uncomp.)/PTF13ayw/1/AIS_114/AIS_114_sg85-nd-int.fits
PTF13ddg,0.084,0.001415057731495088,9.2935599995649e-05,3.0733129513719186e-06,0.00765482592736,228.0,0.00579429011183,1.57689414104e-18,1.19362376304e-18,2.39927015899e+37,1.81784839284e+37,3.56764178844e+36,2.70565874552e+36,36.5523812423,0.572654310041,./Tar archives (uncomp.)/PTF13ddg/1/AIS_165/AIS_165_sg22-nd-int.fits
PTF13ddg,0.084,0.001415057731495088,9.2935599995649e-05,3.0733129513719186e-06,0.0291443867931,139.0,0.0144800501452,6.00374367937e-18,2.98289032992e-18,9.13479394544e+37,4.54854707284e+37,1.35831608985e+37,6.77845060061e+36,37.1330008451,0.870271419326,./Tar archives (uncomp.)/PTF13ddg/2/AIS_165/AIS_165_sg32-nd-int.fits
SN2011f,0.008,0.001415057731495088,0.009906980311880054,0.003728125950444931,9.6635133058,1037.05,0.0965311909961,1.99068374099e-15,1.98854253452e-17,2.84131699793e+38,1.00382010335e+38,4.50381944933e+39,2.32472189286e+39,39.653580972,0.841384055591,./Tar archives (uncomp.)/SN2011fe/1/NGA_M101/NGA_M101-nd-int.fits
SN2011f,0.008,0.001415057731495088,0.009906980311880054,0.003728125950444931,9.85712302987,184.0,0.231454792846,2.03056734415e-15,4.76796873263e-17,2.8982431471e+38,1.02578232359e+38,4.59405404758e+39,2.373306707e+39,39.6621961002,0.84067192687,./Tar archives (uncomp.)/SN2011fe/2/AIS_101/AIS_101_sg32-nd-int.fits
