Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry,Exposure Time,Pixel Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Name
LSQ14fmg,0.06,0.001415058,0.000180197,8.39E-06,0.016338284,182,0.009474745,3.37E-18,1.95E-18,2.64E+37,1.54E+37,7.61E+36,4.44E+36,36.88165236,0.253470428,Tar archives (uncomp.)/LSQ14fmg/1/AIS_151/AIS_151_sg11-fd-int.fits
SN2013fj,0.03357,0.001415058,0.000568931,4.78E-05,0.086425279,182,0.021791378,1.78E-17,4.49E-18,4.42E+37,1.18E+37,4.03E+37,1.12E+37,37.60508671,0.121004342,Tar archives (uncomp.)/LSQ14fmg/1/AIS_151/AIS_151_sg11-fd-int.fits
LSQ14fmg,0.06,0.001415058,0.000180197,8.39E-06,0.001728994,144,0.003465098,3.56E-19,7.14E-19,2.79E+36,5.60E+36,8.06E+35,1.62E+36,35.90623937,0.870844554,Tar archives (uncomp.)/LSQ14fmg/2/AIS_151/AIS_151_sg12-fd-int.fits
SN2013fj,0.03357,0.001415058,0.000568931,4.78E-05,0,144,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/LSQ14fmg/2/AIS_151/AIS_151_sg12-fd-int.fits
PS1-12bwh,0.025,0.001415058,0.001022,0.000115802,0.205583535,109,0.043429109,4.24E-17,8.95E-18,5.86E+37,1.40E+37,9.58E+37,2.54E+37,37.98143425,0.115018554,Tar archives (uncomp.)/PS1-12bwh/1/AIS_83/AIS_83_sg68-fd-int.fits
PS1-13dkh,0.03,0.001415058,0.000711278,6.70E-05,0.000510309,112,0.002134555,1.05E-19,4.40E-19,2.09E+35,8.74E+35,2.38E+35,9.95E+35,35.37627873,1.817514007,Tar archives (uncomp.)/PS1-13dkh/1/AIS_175/AIS_175_sg19-fd-int.fits
PS1-13dkh,0.03,0.001415058,0.000711278,6.70E-05,0.00971088,105,0.00961689,2.00E-18,1.98E-18,3.98E+36,3.96E+36,4.53E+36,4.52E+36,36.65570452,0.433942539,Tar archives (uncomp.)/PS1-13dkh/2/AIS_175/AIS_175_sg29-fd-int.fits
PS1-14xw,0.02,0.001415058,0.001593394,0.000226752,0.044923964,168.05,0.016350076,9.25E-18,3.37E-18,8.21E+36,3.21E+36,2.09E+37,8.70E+36,37.320924,0.180407791,Tar archives (uncomp.)/PS1-14xw/1/AIS_137/AIS_137_sg88-fd-int.fits
PS1-14xw,0.02,0.001415058,0.001593394,0.000226752,0,165,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PS1-14xw/2/AIS_137/AIS_137_sg87-fd-int.fits
PS1-14xw,0.02,0.001415058,0.001593394,0.000226752,0.045303796,9252,0.002212837,9.33E-18,4.56E-19,8.28E+36,1.23E+36,2.11E+37,4.35E+36,37.32458052,0.089518311,Tar archives (uncomp.)/PS1-14xw/3/NGA_NGC6240/NGA_NGC6240-fd-int.fits
PS15m,0.071,0.001415058,0.000129323,5.08E-06,0.009087068,112,0.009007471,1.87E-18,1.86E-18,2.05E+37,2.03E+37,4.24E+36,4.20E+36,36.62686971,0.43116443,Tar archives (uncomp.)/PS15mt/1/AIS_192/AIS_192_sg11-fd-int.fits
PS15m,0.071,0.001415058,0.000129323,5.08E-06,0,106,0,0,0,0,0,0,0,#NAME?,nan,Tar archives (uncomp.)/PS15mt/2/AIS_192/AIS_192_sg09-fd-int.fits
PS15sv,0.033,0.001415058,0.000588608,5.03E-05,0.103211836,184,0.023684043,2.13E-17,4.88E-18,5.11E+37,1.25E+37,4.81E+37,1.25E+37,37.68217543,0.11258814,Tar archives (uncomp.)/PS15sv/1/AIS_338/AIS_338_sg97-fd-int.fits
PSNJ03034759+0024146,0.04,0.001415058,0.000401858,2.83E-05,0.006116388,488,0.00354028,1.26E-18,7.29E-19,4.43E+36,2.58E+36,2.85E+36,1.67E+36,36.45494092,0.255050205,Tar archives (uncomp.)/PSN J03034759+0024146/1/AIS_181/AIS_181_sg04-fd-int.fits
