sn,Redshift,Redshift Error,NUV Exposure Time (s),NUV 1kpc Luminosity (erg s-1 A-1 kpc-2),NUV 1kpc Luminosity Error (erg s-1 A-1 kpc-2),NUV 1kpc Surface Brightness (erg s-1 A-1 arcsec^-2),NUV 1kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),NUV 5kpc Surface Brightness (erg s-1 A-1 arcsec^-2),NUV 5kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),FUV Exposure Time (s),FUV 1kpc Luminosity (erg s-1 A-1 kpc-2),FUV 1kpc Luminosity Error (erg s-1 A-1 kpc-2),FUV 1kpc Surface Brightness (erg s-1 A-1 arcsec^-2),FUV 1kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),FUV 5kpc Surface Brightness (erg s-1 A-1 arcsec^-2),FUV 5kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2)
SN2008hv,0.012549,0.0010012721212862288,1693.05,5.410304773720946e+36,9.982260995264891e+35,3.725296752607855e+35,9.076876883459529e+34,1.1122258599727026e+37,2.525431630323618e+36,1693.05,3.90623624926304e+36,1.2477562468071886e+36,2.689661640686206e+35,9.598712852221929e+34,6.643865550005472e+36,1.5298960939672538e+36
SN2008hy,0.008459,0.001001229213589488,4375.2,7.970039672162627e+36,1.9150478583620218e+36,2.4979777995364605e+35,8.418075483506607e+34,6.59558944628167e+36,2.2136413024132224e+36,2765.1,7.729488662751611e+36,2.0067640190159766e+36,2.4225840617532512e+35,8.504477678948168e+34,5.177736416023095e+36,1.7413273512225397e+36
SN2009D,0.025007,0.0010015057331403672,256.0,7.273126507595713e+36,2.9773719170888164e+36,1.9779237217351397e+36,8.248826292992583e+35,5.050684243190325e+37,7.018159658325271e+36,256.0,0.0,0.0,0.0,0.0,4.68462204998441e+37,1.1396381512665866e+37
SN2009dc,0.021391,0.0010014219681757659,122.05,2.7193049611260603e+36,2.219193940306549e+36,5.4196475456980386e+35,4.4516575166302675e+35,2.502478794209063e+37,4.474243650688924e+36,122.05,0.0,0.0,0.0,0.0,4.696366141867805e+37,1.235974614641789e+37
SN2009do,0.039734,0.0010019816236937805,288.05,2.4273718629333295e+37,8.170337106927048e+36,1.6558335278010939e+37,5.634539169132633e+36,2.754191946313923e+38,2.9974015628248455e+37,214.05,0.0,0.0,0.0,0.0,3.568569932832459e+38,8.147645853640374e+37
SN2009im,0.0131,0.0010012791785830885,203.0,1.0278574374016548e+37,2.5704257603113417e+36,7.71067858369627e+35,2.2582287991994116e+35,1.8461714668983507e+37,4.073868056728414e+36,203.0,4.5620040804058975e+36,3.5815675242521637e+36,3.422278798745026e+35,2.7369580798128402e+35,1.4437981334119957e+37,3.569478321982569e+36
SN2009jr,0.016548,0.001001330225134558,192.0,1.1996084261695514e+38,1.7235747968128056e+37,1.4338290480722594e+37,2.689489884114273e+36,2.020260432398888e+38,3.4968407309312116e+37,192.0,1.1616570803783657e+38,2.711568130738889e+37,1.3884677944983823e+37,3.647909911934372e+36,2.561880976561589e+38,4.561264028944226e+37
SN2009kk,0.012859,0.0010012760545149498,112.0,5.044197646767988e+36,2.0326966686460905e+36,3.646439480407759e+35,1.5747682541791295e+35,1.291850055684881e+37,2.9666795931422605e+36,112.0,1.6066573651989014e+37,9.066560251763027e+36,1.1614491061235475e+36,6.797846268431478e+35,1.9329207686604901e+37,4.984545854245462e+36
SN2009kq,0.011698,0.0010012618172426354,109.05,7.481659171219461e+36,2.4653022388243273e+36,4.478187423144121e+35,1.661966057375375e+35,3.659713931767122e+37,8.961014707156767e+36,1684.15,1.366012901791094e+37,3.018061761967871e+36,8.176343851889752e+35,2.283076868260365e+35,4.945116703374224e+37,1.2042605851722123e+37
SN2009na,0.020979,0.0010014132523114643,3227.35,7.926168429994256e+37,8.015621025274908e+36,1.5197139354555978e+37,2.108943900508287e+36,3.82630311690045e+38,5.269874401105976e+37,1584.0,1.063490044076926e+38,1.4213832452302212e+37,2.039069260862482e+37,3.3439395800159e+36,5.393284021530231e+38,8.172136681558802e+37
