sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'SN2010ex',0.022812,0.0010014533293209546,220.0,3.3856369988798244e+37,3.024104946310026e+36,7.669177401364827e+36,9.582040947231563e+35,2.0676385850095693e+38,2.583353669992273e+37,220.0,4.408351652691743e+37,3.937609980748051e+36,9.985840443992871e+36,1.2476531317404708e+36,2.5470919068652406e+38,3.182393322079295e+37
b'SN2010gn',0.0365,0.0010018585895544463,177.0,6.209847067254748e+36,3.5016252327569075e+35,3.579658677903657e+36,2.8060873552053243e+35,1.1996648457817917e+38,9.404148990551422e+36,176.0,1.4064029826721839e+37,7.930462889364854e+35,8.107192636191116e+36,6.355212267319385e+35,1.1557851950861098e+38,9.060177276912823e+36
b'SN2010iw',0.021498,0.001001424259476484,1678.15,1.8838825599361903e+37,1.7838160424783577e+36,3.792107392100501e+36,5.025666043205489e+35,8.506184126095599e+37,1.1273214679738487e+37,216.0,2.4328542547826163e+37,2.303627912368356e+36,4.897144227385809e+36,6.490167315282714e+35,1.1928244312420855e+38,1.5808458515935333e+37
b'SN2010ju',0.015244,0.001001309524073363,89.0,-7.957916728824584e+36,1.0576750288572245e+36,-8.076258655617878e+35,1.5067888830633397e+35,5.756041275704932e+37,1.0739055513845936e+37,,,,,,,
b'SN2010jv',0.013469,0.0010012840742891222,2640.0,2.6750392080046816e+37,4.0184782056267454e+36,2.1210380656965012e+36,4.476466225474415e+35,1.1671021146440687e+37,2.4631774801120022e+36,2640.0,1.1151895998863188e+37,1.6752521192492892e+36,8.842336159970008e+35,1.8661814615476456e+35,2.150837946963831e+36,4.539359091082908e+35
b'SN2010kg',0.016632,0.001001331616842305,183.35,3.046205179844569e+37,3.714687380963589e+36,3.677892969051986e+36,6.291682363935015e+35,7.782244789113297e+37,1.3312897548541258e+37,183.3,7.225092857072154e+37,8.810621635088135e+36,8.723351399832262e+36,1.492282581863156e+36,1.0967588323467805e+38,1.876198753207563e+37
b'SN2011B',0.00467,0.001001204370927347,142.0,9.0408454789362e+36,3.890659876662024e+36,8.650545366078977e+34,5.252390870105838e+34,3.4626539068296766e+36,2.102435279732219e+36,142.0,6.594617033488623e+36,2.8379438575655345e+36,6.309922446193936e+34,3.8312242344192497e+34,1.7071383457112234e+36,1.0365309332035184e+36
b'SN2011K',0.0145,0.001001298473715018,1517.05,6.831356757302267e+36,9.539944661881305e+35,6.274747304028934e+35,1.230488699000744e+35,5.988476071993798e+36,1.1743504198317838e+36,188.0,-3.003122473212367e+36,4.1938407296140046e+35,-2.7584322283147045e+35,5.409332869422963e+34,2.9323402051863673e+36,5.750369392231238e+35
b'SN2011aa',0.012512,0.0010012716582466642,108.0,2.914472988783887e+37,4.7095968423914913e+36,1.9949930094488227e+36,4.531257168101009e+35,6.804796397737279e+37,1.5455834836851823e+37,335.0,3.727132044649064e+37,6.022800477550413e+36,2.5512682405988638e+36,5.794733339018555e+35,1.1837546806538073e+38,2.6886795375125774e+37
b'SN2011ae',0.006046,0.0010012117346395938,96.0,5.7301060492308695e+37,1.906727929948757e+37,9.18420911941496e+35,4.3089978462045295e+35,4.384645343606513e+35,2.057164323712035e+35,112.0,8.95169017605308e+37,2.978729805745802e+37,1.4347761427577645e+36,6.731605550944462e+35,1.6683398022416226e+37,7.827426968533986e+36
b'SN2011ao',0.010694,0.001001250590561636,96.0,7.148744391454055e+37,1.349699412823671e+37,3.577504044196324e+36,9.502095039542392e+35,8.425785529076946e+37,2.237946173952571e+37,96.0,7.938728734346227e+37,1.4988502769972584e+37,3.9728423059653503e+36,1.0552140459390598e+36,1.2778047188973163e+38,3.3939365912486835e+37
b'SN2011at',0.006758,0.0010012162873365698,112.0,3.825481294395854e+37,1.139465408931603e+37,7.658289027321504e+35,3.2151773759934515e+35,-3.0103639825327937e+33,1.2638402828118613e+33,192.0,6.227485019164721e+37,1.8549309793706913e+37,1.246689671700775e+36,5.233973819787986e+35,1.141532758169993e+37,4.7924938389368043e+36
b'SN2011by',0.002843,0.0010011975160341862,2803.1,2.2255768113781924e+37,1.5710122369072653e+37,7.898397616407278e+34,7.873363989648673e+34,9.605759706514293e+35,9.575314670077257e+35,,,,,,,
b'SN2011de',0.029187,0.0010016188219243009,3456.9,-6.348934207858299e+34,4.4532643415747226e+33,-2.347741293410899e+34,2.296763716374919e+33,2.0411961195047046e+36,1.9968746975832884e+35,2249.7,-2.6917646335243283e+35,1.8880553910212105e+34,-9.953744637085972e+34,9.737614441881912e+33,2.5034167806193494e+36,2.449058950757363e+35
b'SN2011df',0.014547,0.0010012991554340914,192.0,-3.0866785126283294e+36,4.296752467325918e+35,-2.85353158447198e+35,5.577819193940372e+34,1.7740412551450597e+35,3.467731500726044e+34,192.0,9.273570942590137e+35,1.2909099106199676e+35,8.573107784713735e+34,1.6757916896211408e+34,-2.6086322933162545e+36,5.099112746735035e+35
b'SNF20080514-002',0.022095,0.0010014372533958503,1570.3,2.587621480167138e+36,2.3850337433048152e+35,5.50055272995568e+35,7.094091523939293e+34,2.4325460155330637e+37,3.137267274324348e+36,110.0,-4.005392640365339e+33,3.691806037194846e+32,-8.514333951611379e+32,1.0980980872917024e+32,-2.3588907449739993e+36,3.0422736880033015e+35
b'SNF20080522-000',0.04526,0.0010022159702698938,1686.1,1.17983355441754e+37,5.3990195539606966e+35,1.0417048233773436e+37,6.601701620068344e+35,3.3804262705538615e+38,2.142311822506858e+37,110.05,6.705498343348998e+37,3.06849356328614e+36,5.920453729478702e+37,3.752029183345845e+36,1.0110875658599358e+39,6.407667769001587e+37
b'SNF20080522-011',0.03777,0.0010019056624074067,1939.0,6.164394494934045e+37,3.3621991423673123e+36,3.802912799024607e+37,2.881890506288135e+36,4.2296524890429244e+38,3.2052786895868844e+37,1939.0,9.770100147046884e+37,5.328831949713699e+36,6.027329841964362e+37,4.567579002673803e+36,7.054511215491243e+38,5.345988712557864e+37
