sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'SN2012fm',0.014,0.0010012913579293614,313.15,2.0515645012188593e+37,4.1411890304779145e+36,1.7570688506528575e+36,4.342543019353357e+35,4.0714495699510397e+37,8.355400787538588e+36,282.05,3.5509037359603212e+37,1.1108851923624007e+37,3.041182640085635e+36,1.0456035430303194e+36,4.403860256945004e+37,9.575028500824983e+36
b'SN2012fr',0.005,0.0010012059645567563,3445.05,3.3267488825469778e+37,1.3380011873483805e+37,3.648370108117538e+35,2.069584953215483e+35,2.14346095895935e+37,1.2156783922398645e+37,3445.05,4.994989651817049e+37,2.01143327191404e+37,5.477891953808573e+35,3.1093292698112972e+35,2.458361265531594e+37,1.394295993324133e+37
b'SN2012gm',0.015,0.0010013058391241034,3330.3,0.0,0.0,0.0,0.0,0.0,0.0,1697.1,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2012go',0.03,0.0010016428422666558,530.15,1.0323609494832724e+37,4.3297991801868996e+36,4.0317143501104907e+36,1.7119513734797912e+36,7.341973438100544e+37,1.0472814044147866e+37,331.05,3.267113115703255e+37,2.0920109856849813e+37,1.2759168039635773e+37,8.213727273103464e+36,1.360667590739421e+38,3.435701575368896e+37
b'SN2013ar',0.06,0.001002989722511664,105.05,0.0,0.0,0.0,0.0,0.0,0.0,105.05,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2013bo',0.036,0.0010018404980155398,2103.05,1.0942301267320903e+37,2.4008299932117577e+36,6.137397813139942e+36,1.3885824349143842e+36,4.31488992512418e+37,5.95377682216817e+36,224.0,1.6526204308939322e+37,2.0089541684694636e+37,9.269338113373071e+36,1.127958685638352e+37,5.945554658107855e+37,3.6589143645211997e+37
b'SN2013bq',0.06,0.001002989722511664,199.0,4.091200253570955e+37,2.1008970255307587e+37,6.306674091621117e+37,3.2452525370422296e+37,5.296267168103438e+38,1.0961286702589754e+38,199.0,-3.0872187769870163e+36,1.3838710104263984e+37,-4.759014829204711e+36,2.133324987184662e+37,2.010091536067099e+38,2.0510040547032783e+38
b'SN2013bs',0.0276,0.0010015738332564527,345.0,1.029416194569328e+36,3.0045729157584547e+36,3.4062901141015525e+35,9.94502765736038e+35,1.063326387649812e+36,4.69979517600047e+36,176.0,-2.020558829572701e+36,9.720843502864329e+36,-6.685934806974296e+35,3.2169433042841174e+36,-2.6703948696568165e+36,1.6391653538765749e+37
b'SN2013bt',0.0364,0.0010018549513098314,1167.15,-9.836163639463815e+34,2.0758258920625322e+36,-5.63926656346054e+34,1.1901158987532263e+36,-5.478550186101745e+35,5.973819598950401e+36,203.0,-3.247815536067328e+36,8.381512233324372e+36,-1.862036687082866e+36,4.80636182840224e+36,-1.651788886619148e+37,3.08372250623012e+37
b'SN2013ck',0.049,0.00100239183130352,112.0,1.0189510631871239e+37,1.3451114316775346e+37,1.0527377557155794e+37,1.3903659170192678e+37,1.3088651766410122e+38,5.8542356203126435e+37,112.0,-2.6268521019183046e+36,1.3785627240879463e+37,-2.713954071278478e+36,1.4243158770085497e+37,1.6353366755458216e+37,1.0660993581933424e+38
b'SN2013cs',0.00924,0.0010012361165399621,112.0,2.4130441307123285e+37,6.384992836011161e+36,9.020955539405091e+35,3.082893508463258e+35,1.2072655120986357e+37,3.7519105980604605e+36,112.0,3.571928122544154e+37,1.3494984816959014e+37,1.335334251591559e+36,5.813149537112319e+35,1.892610455756776e+37,6.062172335913295e+36
b'SN2013da',0.0216,0.0010014264543460117,189.1,3.598656290721788e+38,3.983027400649649e+37,7.312388112145713e+37,1.0537744102179736e+37,7.60586966975476e+38,1.0129468279601548e+38,120.0,7.226564598812577e+38,1.0234299959961184e+38,1.4684215661343766e+38,2.4821645479758354e+37,1.0851273844663303e+39,1.5283601596195902e+38
b'SN2013fj',0.03357,0.0010017561221994226,288.0,0.0,0.0,0.0,0.0,9.44303347344708e+37,1.3337670102818357e+37,144.0,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2013fn',0.027,0.0010015574788618097,192.0,1.3355576459852788e+37,6.689655595194103e+36,4.2303541732631004e+36,2.1417814945878906e+36,2.4580836412869844e+37,8.337499467098606e+36,192.0,-3.5591819413307943e+36,6.64895596309727e+36,-1.1273643054024603e+36,2.1076850741974618e+36,1.8953124557331676e+37,1.7315382780428833e+37
b'SN2013fw',0.01695,0.0010013369492653432,123.0,7.062443170596201e+37,1.2749917094332549e+37,8.854933429780234e+36,1.9084040221806354e+36,1.3994952718828101e+38,2.4009995626124203e+37,121.0,1.555532019663082e+38,4.0368569524453753e+37,1.950335337118953e+37,5.557785972063027e+36,1.7123422286043017e+38,3.205655929433981e+37
b'SN2014J',0.00068,0.0010011937104596816,17311.95,4.798791391398404e+37,1.4138472968963944e+38,9.752068271390293e+33,4.061309821847408e+34,3.281748244896915e+34,1.3667045746747197e+35,11527.35,2.784120936867187e+37,8.2027392046050665e+37,5.657869917163438e+33,2.3562557813272453e+34,1.7308688145301516e+34,7.2083126304441975e+34
b'SN2014aa',0.01698,0.0010013374575356824,2915.1,2.6134739775388466e+37,3.367743510932171e+36,3.2883559002470614e+36,5.7346520863183766e+35,1.0046977815701857e+38,1.685842690477904e+37,2915.1,1.2232447232696381e+37,4.309197094142045e+36,1.5391253319452687e+36,5.715650331973888e+35,1.2212808225500833e+38,2.0598792996054292e+37
b'SN2014dk',0.038,0.0010019143593461592,104.0,1.8684902438763032e+36,8.817326373490736e+36,1.1666644664414166e+36,5.50577822257235e+36,2.2857046466033026e+37,2.7090479414386904e+37,104.0,-3.287621741581003e+36,1.2312303611223412e+37,-2.0527543440878252e+36,7.688414365862708e+36,-1.8631778618400153e+37,4.919517367868201e+37
b'SN2015G',0.00475,0.0010012047472740151,150.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
b'SNhunt175',0.0409,0.0010020285392462755,188.0,1.0509039438592529e+36,6.21471492765947e+36,7.591749386396711e+35,4.4896728081726887e+36,3.6459562751451864e+37,2.3780417856522027e+37,188.0,-4.611404403519633e+36,1.1699484654452306e+37,-3.331287008238306e+36,8.453276933378141e+36,5.031562273722223e+37,6.827117731758673e+37
b'SNhunt206',0.027,0.0010015574788618097,312.05,-7.08083744917858e+35,3.1026478080277125e+36,-2.242842182317934e+35,9.828971554893102e+35,1.6938806320195592e+37,5.946568585693054e+36,312.05,9.860731483192237e+35,7.594411794359171e+36,3.1233684825768218e+35,2.4056261951888596e+36,3.583290652737364e+37,1.5057122168910588e+37
b'iPTF13dkj',0.03,0.0010016428422666558,160.1,2.636661075101318e+37,9.916471160052585e+36,1.0297042229449405e+37,3.9324916241463976e+36,3.0792626295599644e+38,3.5713381076076616e+37,160.1,4.0312288626252163e+37,2.999671559282965e+37,1.5743295271058707e+37,1.1761178723405693e+37,2.9348421320540523e+38,5.883549282193984e+37
b'iPTF13dkl',0.04,0.0010019922072870748,346.05,7.979389661341429e+36,6.162460147393484e+36,5.5156214764506e+36,4.2684950970743163e+36,2.2706519738131274e+38,2.925029018231815e+37,346.05,5.079005051260827e+37,2.9726307974711342e+37,3.5107784590915482e+37,2.062164336530271e+37,4.005753246713001e+38,7.885404262001303e+37
b'iPTF13dkx',0.03,0.0010016428422666558,1641.75,0.0,0.0,0.0,0.0,0.0,0.0,1641.75,0.0,0.0,0.0,0.0,0.0,0.0
b'iPTF13ebh',0.01327,0.0010012814171670343,95.0,2.706946991491523e+36,3.790701033215076e+36,2.0835632879399618e+35,2.934535076561085e+35,1.3121638733683122e+37,3.2456681928198803e+36,,,,,,,
b'iPTF14bdn',0.01558,0.0010013146957195947,104.1,4.536741322142337e+37,9.56883986379923e+36,4.808708809171474e+36,1.1866580026779384e+36,6.95865814738287e+37,1.3092669977776696e+37,104.1,3.2010131986729943e+37,1.685058361374334e+37,3.392906774650364e+36,1.838197199053103e+36,1.1317127415089708e+38,2.289645971063718e+37
b'iPTF14gdr',0.07,0.0010036375757533317,112.0,4.0741009213766887e+37,3.341176038831455e+37,8.509982507655431e+37,6.983180769465419e+37,2.438022756144907e+39,3.82423996009245e+38,112.0,1.6218112575406936e+37,5.66383258220797e+37,3.387639555017757e+37,1.1831000556683683e+38,2.5543642227069146e+39,9.506383815656822e+38
b'iPTF14gnl',0.05,0.001002441211974061,248.0,2.8490879467715453e+37,1.3833148578277579e+37,3.063569586228959e+37,1.492404089859937e+37,7.072784637724396e+38,8.261646974075131e+37,248.0,6.902772001401639e+36,1.9952540900829738e+37,7.422418247260427e+36,2.145660290516476e+37,8.904862129828153e+38,1.9986131506499273e+38
