sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'SN2007S',0.01388,0.0010012896872853652,421.05,8.921961718050949e+37,1.321856045983575e+37,7.511201946475384e+36,1.5510397898816367e+36,1.0751810252361839e+38,2.207377789147466e+37,215.0,1.127054826215197e+38,2.4614550560242374e+37,9.488424936104082e+36,2.4813200804289472e+36,1.3644130111810824e+38,2.856876810475345e+37
b'SN2007ca',0.014066,0.0010012922829124493,212.0,2.315827114261187e+37,6.504073529112422e+36,2.0020847254318782e+36,6.300166152808341e+35,3.803942782067692e+37,7.863960685424356e+36,207.0,3.947651215693225e+37,1.4677368391985223e+37,3.412833432859015e+36,1.3582067587320373e+36,5.486642794578112e+37,1.2212757672266278e+37
b'SN2007cq',0.026218,0.0010015367027663162,435.1,2.869968131987598e+37,5.980780560407099e+36,8.574550932197995e+36,1.9018767446454014e+36,1.6723463386258309e+38,1.9726757441191532e+37,435.1,4.399694239610679e+37,1.7508625977509204e+37,1.3144885451223863e+37,5.325466322487851e+36,2.4757530462828674e+38,3.548020474619461e+37
b'SN2007fb',0.018026,0.0010013557410531108,160.0,2.328872612874115e+37,6.147764219164147e+36,3.3008980145507256e+36,9.448421190319318e+35,6.5416688905353215e+37,1.0949321368959836e+37,160.0,2.0493580483930264e+37,1.339636022439431e+37,2.904719595072911e+36,1.9257908202025726e+36,6.877255418879506e+37,1.420625748628245e+37
b'SN2007if',0.0745,0.0010039614701092988,221.05,0.0,0.0,0.0,0.0,0.0,0.0,109.05,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2007le',0.006728,0.0010012160852922933,3070.0,7.38269270406777e+37,2.210059738540378e+37,1.4648787527741838e+36,6.1791711528309975e+35,3.194103601500434e+37,1.3469657846475943e+37,3070.0,8.85524251759444e+37,2.6575204349054026e+37,1.7570630574315166e+36,7.421026737567807e+35,4.267576801846341e+37,1.7997445712664262e+37
b'SN2007nq',0.045031,0.0010022056547560607,3098.2,6.2843040333317164e+35,1.7667039186869928e+36,5.4931219686619216e+35,1.5444689303535885e+36,1.8162920473714255e+37,7.886278137705461e+36,3098.2,3.0146374921260426e+36,4.3958946270917883e+36,2.6351002987310972e+36,3.8442140382974626e+36,2.438600662547329e+36,1.5715966200054948e+37
b'SN2007qe',0.024,0.0010014810949109446,535.05,0.0,0.0,0.0,0.0,0.0,0.0,418.05,3.683447284319976e+36,3.538991958747707e+36,9.230671237353794e+35,8.901714071643576e+35,0.0,0.0
b'SN2007rx',0.0301,0.001001645842333519,250.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2007sr',0.005417,0.0010012081338827729,90.0,4.893587218409516e+35,5.8955983439874474e+35,6.298044531697601e+33,7.935937913317422e+33,3.373150485705958e+35,1.981927340604346e+35,537.1,6.655270158545431e+35,7.508687842401623e+35,8.565329677033998e+33,1.0167956036987012e+34,2.739332358921721e+35,1.727551721408083e+35
